page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,公園,別名,動物,名前の謂れ,国,国内位置,属する海域,属する湾,島,幅,平均水深,座標・経度,座標・緯度,形成時期,所在地,最大水深,構成する湾,橋・トンネル,水深,氷結時期,河川,海岸線の長さ,港,湾口幅,観光地,読み,長さ,面積
208419,リオン湾,44427,9214,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208463,イスケンデルン湾,26088,8625,False,0,16,0,3,0,0,4,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0
212260,野辺地湾,27958,7638,False,0,8,0,0,1,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
217044,トンキン湾,50720,10617,False,2,44,0,19,0,1,6,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,8,0,1
224761,ガルベストン湾,49134,9460,False,0,11,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1
226134,リガ湾,23227,6389,False,0,13,0,0,0,0,2,0,2,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1
249984,グアンタナモ湾,21814,6112,False,0,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
260619,若狭湾,46285,12034,False,0,51,4,0,8,0,0,0,2,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,7,1,0,1
283901,内浦湾,34364,9508,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287594,敦賀湾,27888,7530,False,0,26,2,1,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,10,1,0,1
315379,児島湾,27379,7067,False,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,3,0,3,0,0,1,0,0
337951,リンガエン湾,31970,7903,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356612,志布志湾,31146,8973,False,0,19,0,1,0,0,0,2,0,1,4,0,0,0,0,0,2,0,1,0,0,0,0,1,3,1,2,1,0,0
361075,ビスケー湾,112893,25434,False,1,140,0,20,23,5,2,1,4,0,10,1,2,0,0,0,25,2,0,0,0,0,42,0,0,0,0,1,1,1
363032,プリンス・ウィリアム湾,23881,7072,False,0,16,0,1,6,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0
363345,スカパ・フロー,38752,11646,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369128,コロネーション湾,25749,6888,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369476,アムンゼン湾,45819,9754,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369587,フォックス湾,45777,9897,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369637,フロビッシャー湾,24962,6822,False,0,8,0,3,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
388403,アデン湾,56670,12085,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397976,江戸前,30541,10423,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407808,仙台湾,67311,25580,False,0,148,0,1,10,0,0,0,3,0,0,0,0,2,1,0,16,0,17,0,1,0,18,1,43,1,33,1,0,0
422869,ボスニア湾,51421,11223,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439893,大湊湾,25598,7406,False,0,23,0,5,5,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,1,0,0
461397,レイテ湾,26228,7509,False,0,10,0,1,0,0,1,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
476585,バザーズ湾,24376,6500,False,0,12,0,2,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0
480253,相生湾,25587,7044,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482550,グレイシャー湾,25155,6887,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484836,ブーシア湾,45725,9529,False,0,11,0,2,0,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
501564,セントローレンス湾,49275,10900,False,0,43,0,1,4,0,1,1,3,0,6,0,0,0,0,0,1,0,10,0,0,0,15,0,0,0,0,1,0,0
538059,館山湾,33610,9436,False,0,30,0,3,14,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,1,0,0
544978,単冠湾,42201,8733,False,0,12,0,3,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
545983,別府湾,44272,12947,False,0,76,1,3,16,0,0,0,2,0,2,0,1,2,2,0,14,1,0,0,0,0,6,0,10,0,14,1,0,1
565829,アドベンチャー湾,30001,7280,False,1,17,0,4,0,0,1,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
624679,西朝鮮湾,26160,6654,False,1,23,0,7,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0
627160,ベラ湾,24618,6782,False,0,9,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
627174,クラ湾,25657,6870,False,0,9,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
629757,エンカウンター湾,23027,6229,False,0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
654965,コライオ湾,21912,6093,False,0,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
655873,ボタニー湾,26042,7301,False,0,9,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
710491,和歌山湾,27051,7272,False,0,12,0,0,0,0,0,0,1,0,1,0,0,2,2,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0
741013,ポート・ジャクソン湾,35053,8538,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743867,アバチャ湾,21554,6138,False,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,1,0,0,0,0
746768,ナラガンセット湾,25753,7324,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758463,ジェームズ湾,46899,10179,False,0,18,0,1,3,1,1,0,0,5,1,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0
761812,山川湾,22631,6589,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767408,オマーン湾,47458,9873,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800734,ワイメア・ベイ,32613,9546,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812437,中城湾,27440,8110,False,0,12,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0
816430,坂越湾,26510,7325,False,0,10,0,0,1,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0
824825,洞海湾,32958,9938,False,0,19,0,3,1,0,0,0,0,0,0,1,0,2,2,1,2,0,0,2,0,0,2,0,2,0,0,0,1,0
829670,唐津湾,33801,9643,False,0,25,0,0,0,0,1,0,1,0,10,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,4,1,0,0
832235,伊万里湾,27632,7778,False,0,28,0,0,1,0,0,0,1,0,6,0,0,2,2,0,5,0,0,3,0,0,6,0,0,0,1,1,0,0
833829,石見畳ヶ浦,34630,10000,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836815,浅茅湾,34404,9735,False,0,13,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,1,0,0
838177,仮屋湾,25800,7363,False,0,26,2,0,6,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,4,0,1,1,2,1,0,1
838494,佐世保湾,36151,9166,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838524,橘湾 (長崎県),36684,10026,False,1,40,0,2,11,1,2,0,3,0,3,0,0,4,4,0,5,1,0,0,1,0,2,0,0,0,0,1,0,0
838584,クイーン・モード湾 (カナダ),22601,5966,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840216,マタゴルダ湾,20570,5983,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843452,須佐湾,32772,9821,False,0,32,1,1,1,0,0,0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,16,1,0,0
846972,ポルト湾,56053,13992,False,1,18,2,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,4,0,0,1
877070,ターラント湾,30205,8155,False,1,40,0,2,0,1,2,0,4,0,2,0,0,4,4,0,17,0,0,0,0,0,3,0,0,0,0,0,0,1
882822,タジュラ湾,24287,6665,False,0,10,0,0,0,0,1,1,0,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
902536,亜庭湾,26079,7173,False,0,11,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,1,0,0
905769,アンガヴァ湾,24710,8130,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913858,広島湾,26922,6578,False,0,49,0,0,1,0,0,0,2,0,22,0,0,0,0,0,19,0,1,0,0,0,0,0,1,0,2,1,0,0
916450,バラード入り江,29303,9289,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919971,多来加湾,34221,11448,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924839,イリガン湾,25750,6922,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929440,膠州湾,50883,14490,False,0,48,0,2,0,1,3,1,2,0,0,1,1,0,0,0,12,1,0,4,0,0,14,1,1,1,0,1,1,1
938519,クイーン・モード湾 (サウスジョージア・サウスサンドウィッチ諸島),27930,7091,False,0,9,0,1,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
940330,ハミルトン湾,21957,6349,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942838,ピュージェット湾,86215,21597,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950524,スエズ湾,46853,10114,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950810,宗谷湾,24453,7054,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971879,リュツォー＝ホルム湾,23837,6560,False,0,10,0,2,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
989305,バサースト湾,23982,7423,False,0,11,2,2,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
992838,ポメラニア湾,22210,6262,False,0,11,0,0,0,0,2,1,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
992855,リューベック湾,26531,7073,False,0,14,0,0,0,0,1,0,2,1,0,0,0,2,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
1002651,ナポリ湾,26932,7402,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008888,川平湾,42980,10471,False,0,24,2,0,2,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1028865,ハーフムーンベイ (ニュージーランド),21134,5804,False,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1034343,エンプレス・オーガスタ湾,24651,6439,False,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1036602,ゼーアドラー湾,23820,6603,False,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1045384,土佐湾,31167,8763,False,0,34,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0
1075434,カムラン湾,44997,11065,False,0,15,0,3,0,0,3,1,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1085522,蜜月湾,29596,8016,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104383,スービック湾,27152,7868,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106590,浦戸湾,30964,10846,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126548,島原湾,28029,7281,False,0,20,0,0,0,0,0,0,1,0,10,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,1,0,0
1141328,シドラ湾,49762,11237,False,0,21,0,5,1,1,2,1,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0
1157321,オルモック湾,25967,7307,False,0,11,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1181525,アラスカ湾,47145,10084,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192775,リツヤ湾,27263,7701,False,0,17,0,4,0,1,1,0,1,0,1,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
1199148,オスロ・フィヨルド,29464,8776,False,0,13,0,5,0,0,1,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1208222,マサチューセッツ湾,26898,7317,False,0,13,0,1,0,0,1,0,1,1,0,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0
1208232,ケープコッド湾,27911,7842,False,0,12,0,1,0,0,1,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0
1222688,ヴィボルグ湾,28645,7609,False,0,15,0,5,0,0,0,0,1,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
1233653,青森湾,31167,8206,False,0,18,0,0,3,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,1,0,0
1233655,函館湾,30002,8280,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238131,ハタンガ湾,24252,6805,False,0,14,0,3,0,0,1,0,2,0,0,0,0,2,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1238294,アナディリ湾,22774,6499,False,0,17,0,3,0,0,2,0,1,0,0,1,0,0,0,0,6,0,1,0,0,1,1,0,1,0,0,0,0,0
1238663,釜石湾,25852,7334,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240467,油壺湾,34990,10613,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246004,ゴールウェイ湾,30237,9034,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247716,七尾湾,30844,8294,False,0,36,0,0,1,0,0,0,1,0,13,0,0,0,0,0,5,0,3,5,0,0,0,0,6,0,1,1,0,0
1251932,ガベス湾,25489,7058,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255099,ヴェネツィア湾,36328,8561,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266918,三浦湾,29668,8946,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272000,ソルウェー湾,29099,9514,False,0,14,0,1,0,0,1,0,1,0,2,0,0,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
1273513,マレー湾,31259,8909,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273606,クライド湾,43329,14796,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274019,フォース湾,32994,9153,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285211,ソウ箕湾,27827,9779,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295491,水俣湾,27364,9019,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298245,大連湾,25848,6708,False,1,10,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0
1298761,デラウェア湾,28904,7389,False,0,13,0,1,0,1,1,1,1,0,0,0,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1301860,クジラ湾,22617,6437,False,0,8,0,1,1,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1317166,守江湾,23072,6576,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320284,臼杵湾,25241,7120,False,0,20,2,0,0,0,0,0,1,0,8,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,1,0,0
1320285,津久見湾,25192,7257,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320286,佐伯湾,26239,7338,False,0,20,2,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,3,1,0,0
1320287,米水津湾,23732,6763,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325964,ハナウマ湾,33248,9639,False,0,10,0,4,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1328626,土瓜湾,21993,6750,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346635,伊根湾,25841,7236,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352857,銅鑼湾,44297,14271,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366512,チュニス湾,22247,6127,False,0,15,0,2,0,0,1,0,1,0,0,0,0,3,3,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0
1370143,金武湾,23525,7506,False,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,5,1,2,0
1385532,グアカナヤボ湾,25034,6567,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400431,カスコ湾,24101,6707,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405101,ミルン湾,23397,6298,False,0,11,0,3,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1405854,パナマ湾,23995,6860,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409278,ホープ湾,21069,6309,False,0,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1434214,サハリン湾,25360,7012,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441081,香取海,51382,15518,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444242,タゾフスカヤ湾,25210,7293,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461631,コトル湾,67983,26573,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470344,的矢湾,39751,10995,False,0,28,0,0,5,0,0,0,0,0,1,2,0,0,0,0,5,0,7,2,0,0,0,1,0,1,1,1,1,1
1472433,ファンディ湾,74876,18920,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492118,ピョートル大帝湾,26476,7838,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497362,ナホトカ湾,29747,8932,False,0,33,0,6,0,1,2,1,0,1,6,0,0,2,2,0,1,0,3,0,0,0,0,0,8,0,0,0,0,0
1497426,ポシェト湾,29436,9141,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497484,金角湾 (ウラジオストク),31876,9532,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516272,江田島湾,27570,6926,False,0,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
1528441,杭州湾,29607,8335,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549473,ピラン湾,40047,14971,False,0,69,0,4,0,1,57,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
1555836,ディスコ湾,23800,6775,False,0,13,0,0,3,0,2,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
