page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,IATA（空港コード）,ICAO（空港コード）,別名,名前の謂れ,名称由来人物の地位職業名,国,年間利用客数,年間利用者数データの年,年間発着回数,年間発着回数データの年,座標・経度,座標・緯度,所在地,旧称,標高,母都市,滑走路の長さ,滑走路数,総面積,読み,近隣空港,運営者,運用時間,開港年
55957,富山空港,118445,22643,False,1,27,1,1,6,0,0,2,0,0,0,0,4,4,3,0,2,0,1,0,0,1,0,1,1,0
60162,那覇空港,224192,64098,False,1,48,1,1,2,0,0,3,0,0,1,1,4,4,5,15,2,0,3,2,0,1,0,1,1,1
61848,松山空港,127181,35162,False,2,24,1,1,2,0,0,2,0,0,0,0,2,2,3,3,2,0,2,0,0,1,0,1,1,1
63174,帯広空港,110766,28931,False,1,31,1,1,4,0,0,1,0,0,0,0,4,4,5,1,2,0,3,0,0,1,1,1,1,1
64834,調布飛行場,101550,26071,False,1,31,0,1,6,0,0,2,0,0,0,0,4,4,3,2,2,0,1,2,1,1,0,1,0,1
65564,女満別空港,103946,25240,False,2,31,1,1,2,0,0,1,1,1,0,0,4,4,4,3,2,0,2,0,1,1,0,1,1,1
70763,中部国際空港,436074,117467,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
72255,庄内空港,91164,21448,False,1,26,1,1,3,0,0,1,0,0,0,0,4,4,2,0,2,0,1,0,0,1,3,1,1,1
73011,稚内空港,79021,16212,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
73069,大島空港,64050,11037,False,1,23,1,1,2,0,0,1,0,0,0,0,4,4,3,0,2,0,2,0,0,1,0,1,0,1
76976,函館空港,102489,22837,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
77783,札幌空港,20987,6016,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
81647,仙台空港,231435,54262,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
82982,ジョン・F・ケネディ国際空港,276175,48275,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
83108,山形空港,171614,34772,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
87493,ニューアーク・リバティー国際空港,96104,24791,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
88886,アテネ国際空港,55836,13596,False,1,31,1,1,7,1,1,2,0,0,0,0,4,4,3,0,2,0,2,0,0,1,0,1,0,1
94030,青森空港,124253,25877,False,2,28,1,1,2,0,0,1,1,1,0,0,4,4,3,0,3,0,3,0,0,1,0,1,1,1
100192,小松飛行場,218002,53505,False,1,32,1,1,7,0,0,1,0,0,0,0,4,4,3,0,2,2,1,1,2,1,0,1,0,1
100233,仁川国際空港,195892,45185,False,2,42,1,1,6,0,0,2,1,1,1,1,4,4,5,0,2,1,2,1,1,3,1,2,0,2
101143,慶良間空港,63689,12212,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
103035,南大東空港,65381,12137,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
103037,北大東空港,66672,11924,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
106524,金浦国際空港,65334,15287,False,2,37,3,1,6,0,0,2,0,0,0,0,4,4,6,0,2,0,2,0,0,3,3,1,0,0
107722,香港国際空港,249147,62409,False,2,64,2,2,10,0,0,2,1,1,2,0,4,4,5,0,2,0,4,2,1,5,10,2,2,3
108550,金海国際空港,70662,16883,False,2,33,1,1,5,0,0,2,0,0,0,0,4,4,5,0,2,0,2,0,0,3,2,1,0,1
109670,長崎空港,107058,24405,False,1,39,1,1,4,0,0,2,3,1,0,0,4,4,2,3,2,0,2,0,1,1,3,1,1,3
109878,嘉手納飛行場,87347,31482,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
111382,粟国空港,68554,12984,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
111448,久米島空港,72285,12717,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
111707,伊江島空港,61605,10587,False,1,28,1,1,2,0,0,1,1,1,0,0,4,4,4,0,2,0,1,0,0,1,1,1,2,1
111715,与那国空港,92200,23789,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
111732,宮古空港,100747,20874,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
111768,下地島空港,129542,34343,False,1,52,1,1,3,0,0,10,1,1,1,1,4,4,10,3,2,0,2,0,1,2,0,1,1,3
111787,石垣空港,85302,19549,False,1,29,1,1,2,0,0,1,0,0,0,0,4,4,4,0,2,0,3,0,0,1,3,1,0,2
111826,新石垣空港,117972,29652,False,1,33,1,1,4,0,0,2,0,0,0,0,4,4,4,0,0,0,3,0,1,1,2,1,1,4
113289,波照間空港,83194,15349,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
118195,ハブ空港,77229,21399,False,0,,,,,,,,,,,,,,,,,,,,,,,,,
118499,小値賀空港,58018,10194,False,1,23,0,1,2,0,0,1,1,1,0,0,4,4,2,0,2,0,1,0,0,1,0,1,1,1
118889,上海虹橋国際空港,118510,17895,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
124429,クアラルンプール国際空港,209365,42880,False,1,45,1,1,5,0,0,5,1,1,1,1,4,4,4,0,2,2,2,1,1,1,2,1,2,3
124558,福江空港,76853,14377,False,1,28,1,1,4,0,0,1,1,1,0,0,4,4,3,0,2,0,2,0,0,1,0,1,1,1
124560,上五島空港,60022,11800,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
124561,壱岐空港,70982,14521,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
124562,対馬空港,65123,12212,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
126889,紋別空港,142397,42778,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
126902,シンガポール・チャンギ国際空港,188288,53593,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
136082,徳島飛行場,147943,29968,False,1,49,1,1,16,0,0,1,2,2,0,0,4,4,6,0,2,1,2,0,1,1,0,1,1,3
136088,フランクフルト空港,96618,23700,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
137277,福島空港,140760,35406,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
142127,高松空港,161652,40208,False,1,33,1,1,2,0,0,1,2,2,0,0,4,4,6,0,2,0,2,0,1,1,0,1,1,2
145091,札幌飛行場,169772,36375,False,2,47,1,1,14,0,0,1,2,2,0,0,4,4,3,3,2,0,5,0,0,1,0,1,1,2
145219,デンバー国際空港,70055,20019,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
145834,佐賀空港,117245,29787,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
147409,花巻空港,101440,25238,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
148241,北九州空港 (初代),53318,13985,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
149164,佐渡空港,76471,15003,False,1,25,1,1,2,0,0,1,0,0,0,0,4,4,3,0,2,0,2,0,1,1,0,1,1,1
149570,鹿児島空港,127552,32137,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150417,利尻空港,65626,12676,False,1,28,1,1,2,0,0,1,1,1,0,0,4,4,4,0,2,0,3,0,0,1,0,1,1,1
150419,礼文空港,60311,12043,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150420,奥尻空港,69522,12991,False,1,30,1,1,2,0,0,1,1,1,0,0,4,4,6,0,2,0,3,0,0,1,0,1,1,1
150424,新島空港,52220,9270,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150425,神津島空港,50144,8773,False,1,22,0,1,2,0,0,1,0,0,0,0,4,4,3,0,2,0,1,0,0,1,0,2,0,1
150428,八丈島空港,74034,14607,False,1,26,1,1,2,0,0,1,1,1,0,0,4,4,3,0,2,0,1,0,0,1,0,1,1,2
150430,松本空港,130012,33845,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150433,宮崎空港,107717,24162,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150434,熊本空港,102001,21512,False,1,38,1,1,5,0,0,1,0,0,0,0,4,4,8,6,2,0,2,0,0,1,0,1,1,1
150436,大分空港,108769,23716,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
150438,種子島空港 (初代),40426,9764,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
156578,福井空港,70312,14305,False,1,27,1,1,3,0,0,1,0,0,1,0,4,4,2,0,2,0,1,0,0,1,2,1,1,2
163386,枕崎飛行場,68939,14764,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
166722,ケプラヴィーク国際空港,51694,12767,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
168945,平壌国際空港,65569,15855,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
169599,トリノ空港,44246,9360,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
174203,天草飛行場,78583,15729,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175701,但馬飛行場,104007,27108,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175792,多良間空港,84139,15765,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175793,屋久島空港,68740,12860,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175795,徳之島空港,73204,13925,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175796,沖永良部空港,63772,11183,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175797,与論空港,62652,10882,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
175801,三宅島空港,67908,14376,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
176904,コペンハーゲン空港,108295,23803,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
178783,広島西飛行場,99104,24111,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
179450,北九州空港,156569,37161,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
184659,大分県央飛行場,56811,11041,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
185294,八尾空港,98181,21620,False,1,34,0,1,2,0,0,1,0,0,1,1,4,4,3,4,1,0,4,2,0,1,0,3,1,1
185637,ダニエル・K・イノウエ国際空港,126247,30175,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
190164,岩国飛行場,191483,57986,False,1,29,1,1,9,0,0,3,0,0,0,0,4,4,2,0,2,0,1,0,0,1,0,0,0,1
192887,バンクーバー国際空港,113417,27035,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
195228,パリ＝シャルル・ド・ゴール空港,226200,42994,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
195896,上海浦東国際空港,198822,39893,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
196391,北京首都国際空港,229815,37727,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
200310,インディアナポリス国際空港,90094,30035,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
200382,ロサンゼルス国際空港,221773,32532,False,1,29,4,1,2,0,0,2,2,2,1,1,2,2,2,0,2,0,4,0,0,1,0,1,0,0
200413,ダラス・フォートワース国際空港,65654,18552,False,1,30,3,1,2,0,0,2,1,1,1,1,2,2,2,0,2,2,5,1,0,1,0,1,0,0
200524,ワシントン・ダレス国際空港,66703,15338,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
200962,ミネアポリス・セントポール国際空港,56937,12320,False,1,28,2,2,2,0,0,1,1,1,1,1,2,2,2,4,2,0,4,0,0,1,0,0,0,0
201032,デトロイト・メトロポリタン・ウェイン・カウンティ空港,65304,21001,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
201185,シアトル・タコマ国際空港,83530,15780,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
201348,ポートランド国際空港,59430,15697,False,1,24,2,1,2,0,0,2,1,1,1,1,2,2,3,0,2,0,3,0,0,1,0,0,0,0
201360,マッカラン国際空港,80034,22174,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
201436,ジェネラル・エドワード・ローレンス・ローガン国際空港,69984,18473,False,1,27,2,1,2,0,0,2,1,1,1,1,2,2,2,1,2,0,6,0,0,0,0,0,0,1
201448,フェニックス・スカイハーバー国際空港,55059,15943,False,1,25,1,1,3,0,0,2,1,1,1,1,2,2,3,0,2,0,3,0,0,1,0,1,0,0
203429,オーランド国際空港,61562,13258,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
204129,セントルイス・ランバート国際空港,76147,18545,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
206593,ピッツバーグ国際空港,56145,14238,False,1,24,2,1,2,0,0,2,1,1,1,1,2,2,1,0,2,1,4,0,0,0,0,1,0,0
206644,フィラデルフィア国際空港,64815,18560,False,1,25,1,1,2,0,0,2,0,0,1,1,4,4,3,0,2,0,4,0,0,0,0,0,0,0
206699,カンザスシティ国際空港,47266,11938,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
207170,ソルトレイクシティ国際空港,72843,13878,False,1,24,1,1,2,0,0,2,1,1,1,1,2,2,2,2,2,0,4,0,0,0,0,0,0,0
209693,岡南飛行場,65206,12258,False,1,30,1,1,2,0,0,1,0,0,0,0,4,4,2,3,2,0,2,0,0,1,3,2,1,1
210271,セレター空港,37607,8681,False,1,23,1,1,3,0,0,3,0,0,0,0,4,4,1,0,2,0,1,0,0,1,0,2,0,0
212439,ミュンヘン空港,220397,40882,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
218438,カーブル国際空港,46696,10144,False,1,28,1,1,7,0,0,3,0,0,0,0,4,4,2,0,2,0,1,0,0,1,0,1,1,0
218453,ヴィリニュス国際空港,159946,24813,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
232645,ドバイ国際空港,259773,43834,False,1,37,1,1,4,0,0,3,1,1,1,1,4,4,5,0,2,1,2,0,0,1,3,1,0,1
233682,ベルリン・テーゲル空港,54528,12098,False,1,24,1,1,2,0,0,2,0,0,0,0,4,4,4,0,2,0,2,0,0,0,0,1,0,1
233686,フィウミチーノ空港,196990,36602,False,1,31,1,1,7,0,0,2,0,0,0,0,4,4,3,0,1,1,3,0,0,1,2,1,0,0
233690,ミラノ・マルペンサ空港,70603,13927,False,1,26,1,1,4,0,0,2,0,0,0,0,4,4,3,0,2,1,1,0,0,1,1,1,0,0
233702,ミラノ・リナーテ空港,56725,12296,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
234849,チューリッヒ空港,53737,11007,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
235478,広州白雲国際空港,131052,27097,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
236663,シドニー国際空港,139054,25488,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
236687,メルボルン空港 (オーストラリア),107776,24939,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
236696,メルボルン国際空港,21061,5927,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
237546,カフルイ空港,44557,11070,False,1,29,2,2,2,0,0,2,0,0,0,1,5,4,4,0,2,0,2,1,0,1,0,1,0,0
238674,モントリオール・ミラベル国際空港,46127,10541,False,1,34,1,1,3,0,0,2,0,0,1,1,4,4,5,0,2,1,2,0,0,1,4,1,0,1
238694,モントリオール・ピエール・エリオット・トルドー国際空港,127226,25482,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
240143,ローマ・チャンピーノ空港,41789,9999,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
242284,ゴールドコースト空港,55696,10940,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
242382,ブリスベン空港,125769,22399,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
242700,パース空港,68073,16874,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
242738,ケアンズ国際空港,95637,15525,False,1,29,1,1,2,0,0,2,1,1,1,1,4,4,2,0,2,0,2,0,0,1,0,2,0,2
243088,マイアミ国際空港,68965,19952,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
243127,タンパ国際空港,54018,14464,False,1,27,2,1,2,0,0,2,1,1,1,1,4,4,3,0,2,0,3,0,0,0,0,0,0,0
245163,オンタリオ国際空港,48980,10291,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
245307,ボブ・ホープ空港,44205,10418,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
245494,エドモントン国際空港,49569,11605,False,1,28,1,1,1,0,0,2,1,1,1,1,4,4,3,0,2,1,2,0,0,0,0,2,0,1
245532,ジェネラル・ミッチェル国際空港,47213,9992,False,1,23,1,1,3,1,1,2,1,1,1,1,0,0,2,0,2,0,5,0,0,0,0,1,0,0
245677,シンシナティ・ノーザンケンタッキー国際空港,59703,16127,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
245756,リノ・タホ国際空港,46726,9725,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
248096,ホバート国際空港,38488,9178,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
248133,キャンベラ国際空港,47423,10244,False,1,26,1,1,2,0,0,2,1,1,1,1,4,4,3,0,1,1,2,0,0,0,0,1,0,0
248172,オークランド国際空港 (ニュージーランド),125376,23437,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
252812,アデレード空港,46054,10547,False,1,27,1,1,2,0,0,2,0,0,0,0,4,4,4,0,2,1,2,0,0,1,0,3,0,0
255992,伊是名場外離着陸場,35063,8557,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
256609,ロンドン・ヒースロー空港,207367,45478,False,1,43,2,2,3,3,0,1,1,1,1,1,4,4,3,2,2,0,4,1,0,1,3,3,0,1
257731,アムステルダム・スキポール空港,122530,31547,False,1,33,1,1,2,0,0,1,1,1,0,0,4,4,6,0,2,1,6,0,0,1,0,1,0,1
257951,スワンナプーム国際空港,175822,39258,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
266185,代替滑走路,77803,20261,False,0,,,,,,,,,,,,,,,,,,,,,,,,,
267245,伊江島補助飛行場,51727,17415,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
269072,ジョージ・ブッシュ・インターコンチネンタル空港,70979,19106,False,1,34,1,1,4,1,1,2,1,1,1,1,2,2,1,2,2,1,4,0,2,0,1,2,0,1
275812,立川飛行場,113484,37493,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292227,デュッセルドルフ空港,81457,15511,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292229,ハンブルク空港,71067,13143,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292487,ハノーファー空港,61511,12542,False,1,33,1,1,2,0,0,2,1,1,0,0,4,4,4,0,2,1,6,0,0,0,2,1,0,1
292494,アタテュルク国際空港,176384,32022,False,1,33,1,1,5,1,1,2,1,1,0,0,4,4,3,1,2,3,0,1,0,0,1,1,0,0
292705,トリブバン国際空港,66177,17595,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292713,ワットタイ国際空港,61467,11389,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292716,トリポリ国際空港,55785,11827,False,1,22,1,1,4,0,0,2,0,0,0,0,4,4,2,0,2,0,2,0,0,0,0,0,0,0
292720,ルクセンブルク-フィンデル空港,50651,10353,False,1,28,1,1,6,0,0,2,1,1,1,1,4,4,1,0,2,1,1,0,0,0,0,1,0,0
292723,シェレメーチエヴォ国際空港,110307,27026,False,1,33,1,1,3,0,0,3,0,0,0,0,4,4,3,0,2,0,2,1,0,1,6,1,0,1
292724,プルコヴォ空港,79501,16292,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
292726,ドモジェドヴォ空港,113653,25932,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
304618,ングラ・ライ国際空港,87432,19128,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
306896,ウラジオストク国際空港,92359,17000,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
307094,サスカトゥーン・ジョン・G・ディーフェンベーカー国際空港,49963,11384,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
308339,スカルノ・ハッタ国際空港,136256,29737,False,1,46,2,2,5,2,2,2,1,1,1,1,4,4,4,0,2,0,4,1,0,1,3,3,0,1
311834,調布空港,20478,5730,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
317640,ヴヌーコヴォ国際空港,70478,13955,False,1,31,1,1,6,0,0,2,1,1,1,1,4,4,3,0,2,0,1,0,0,0,0,1,0,2
321282,啓徳空港,111234,30773,False,3,50,2,2,10,0,0,2,0,0,0,0,4,4,7,0,2,0,3,1,0,7,1,3,0,2
326951,アーチャーフィールド空港,40866,8693,False,1,21,0,1,3,0,0,1,0,0,0,0,4,4,2,0,1,1,3,0,0,0,0,1,0,0
332312,ハーツフィールド・ジャクソン・アトランタ国際空港,97134,28878,False,1,35,1,1,4,2,2,2,1,1,1,1,2,2,2,3,2,1,4,0,0,1,0,1,0,1
333903,西安咸陽国際空港,59641,12416,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
339048,成都双流国際空港,116126,21958,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
345258,ヘルシンキ・ヴァンター国際空港,123759,23105,False,1,35,1,1,6,0,0,2,1,1,1,1,4,4,4,0,2,1,3,0,0,0,1,1,0,1
356846,鄭州新鄭国際空港,75455,12206,False,2,33,2,2,4,0,0,2,0,0,0,0,4,4,2,0,2,0,2,1,0,3,3,1,0,1
360328,グアム国際空港,82621,18349,False,1,30,1,1,5,1,1,1,0,0,1,1,2,2,3,2,2,0,2,1,0,1,0,1,1,1
360647,計根別飛行場,30810,8899,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
368226,リバプール・ジョン・レノン空港,59917,11540,False,1,24,1,1,1,2,1,2,0,0,0,0,4,4,2,2,2,0,1,0,0,0,0,1,0,0
371893,クライストチャーチ国際空港,83687,19908,False,1,32,1,1,2,0,0,1,1,1,1,1,4,4,5,2,2,0,3,0,0,0,0,2,0,1
376374,SAL,21340,6390,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
386292,大西飛行場,31260,9118,False,0,,,,,,,,,,,,,,,,,,,,,,,,,
387734,笠岡ふれあい空港,35003,9639,False,1,17,0,0,2,0,0,1,0,0,0,0,4,4,3,0,0,0,2,0,0,1,0,0,0,0
390856,ラガーディア空港,59970,17916,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
406279,ベン・グリオン国際空港,70557,15159,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
407371,スチュワート国際空港,43907,9202,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
434820,ヴァーツラフ・ハヴェル・プラハ国際空港,156297,25110,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
438205,飛騨エアパーク,34047,8250,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
461407,フナフティ国際空港,36568,8487,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
471819,釧路空港,128463,28348,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
473750,北京空港,26241,7090,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
479372,大村航空基地,62330,20485,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
481453,種子島空港,74619,14089,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
482356,高雄国際空港,86526,17435,False,2,35,1,1,5,0,0,2,0,0,0,0,4,4,3,3,2,1,1,0,0,5,0,1,0,2
484009,瀬峰場外離着陸場,42244,10178,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
485109,アルバカーキ国際空港,51273,13240,False,1,25,3,1,2,0,0,2,1,1,1,1,2,2,2,0,2,0,3,0,0,1,0,1,0,0
493378,ツェルトベク飛行場,58847,10542,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
496137,パリ＝オルリー空港,73799,13726,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
508765,館山航空基地,81400,24198,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
516615,バグダード国際空港,71493,15854,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
516896,マスカット国際空港,83124,17572,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
517631,ホンダエアポート,59118,11695,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
517633,ドーハ国際空港,66243,13296,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
517732,カイロ国際空港,137975,27831,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
