page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,人口密度,別名,地名の謂れ,成立時期,戦争,所在地,構成国,構成地域,民族,言語,読み,面積
8681,北アメリカ大陸,61126,11221,False,0,23,0,0,0,0,3,0,0,0,2,13,2,1,0,1,1
8689,アフロ・ユーラシア大陸,145787,30371,False,0,,,,,,,,,,,,,,,,
8707,アフリカ大陸,65009,11437,False,0,6,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0
8708,パンゲア大陸,62427,12159,False,0,,,,,,,,,,,,,,,,
9148,アジア大陸,67344,10967,False,0,22,0,0,0,0,0,0,0,0,4,0,17,0,0,1,0
9154,アングロアメリカ,50329,12176,False,0,44,0,0,0,0,1,1,0,0,6,16,15,2,3,0,0
9228,北アメリカ,181489,46788,False,1,,,,,,,,,,,,,,,,
9299,ラテンアメリカ,143740,32335,False,1,183,55,2,2,0,9,2,1,1,2,55,32,1,19,0,2
9547,オセアニア,173517,45354,False,1,,,,,,,,,,,,,,,,
10156,インド亜大陸,57804,10220,False,1,16,0,1,1,0,2,0,0,0,3,5,2,0,0,1,1
10187,近東,25955,7561,False,0,18,0,0,0,0,1,1,0,1,2,6,6,0,0,1,0
10369,東トルキスタン,90273,27521,False,3,146,27,0,0,0,18,1,0,6,3,63,0,23,1,4,0
11081,南半球,90672,11833,False,0,,,,,,,,,,,,,,,,
13120,中央アメリカ,68078,16391,False,0,96,0,1,1,1,8,0,0,0,2,67,15,0,0,0,1
13930,マグリブ,31892,8889,False,0,19,0,0,0,0,3,3,0,0,1,7,0,4,1,0,0
13931,マシュリク,21663,6186,False,0,10,0,0,0,0,2,2,0,0,1,3,2,0,0,0,0
14826,北ヨーロッパ,58063,11527,False,0,,,,,,,,,,,,,,,,
15131,バルト三国,83924,18557,False,0,71,2,1,1,0,3,0,1,7,1,40,0,7,6,1,1
15523,旧世界,26519,6863,False,0,6,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0
16463,西ヨーロッパ,67902,13607,False,0,,,,,,,,,,,,,,,,
16865,ヨーロッパ大陸,61646,11497,False,0,,,,,,,,,,,,,,,,
17131,トルキスタン,50742,15195,False,0,69,3,0,0,0,7,2,0,0,4,26,7,15,4,0,1
17680,イスラム世界,45366,10026,False,0,,,,,,,,,,,,,,,,
18057,西南アジア,23268,6106,False,0,,,,,,,,,,,,,,,,
19216,北アフリカ,54511,10951,False,0,,,,,,,,,,,,,,,,
19277,西アフリカ,56544,12590,False,0,44,4,0,0,0,0,0,0,0,3,34,2,0,0,1,0
19302,東アフリカ,57560,11665,False,0,61,3,0,0,0,5,1,0,1,3,43,4,0,0,1,0
20232,ミクロネシア,146519,41799,False,0,253,0,1,1,0,2,1,0,22,2,40,140,19,25,0,0
20233,ポリネシア,207216,50589,False,0,,,,,,,,,,,,,,,,
23475,ローレンシア大陸,55126,9625,False,0,,,,,,,,,,,,,,,,
24022,コリア,67268,12396,False,2,30,0,0,0,0,11,4,0,0,1,11,0,0,2,1,0
25119,コンゴ,34566,8724,False,0,23,2,0,0,0,2,1,0,0,1,8,8,1,0,0,0
25167,ユーラシア,43976,12926,False,0,25,0,1,1,0,4,2,0,0,3,3,8,1,0,0,2
25680,西洋,43456,13178,False,0,,,,,,,,,,,,,,,,
25681,東洋,40127,12181,False,0,,,,,,,,,,,,,,,,
26531,北半球,98302,13931,False,0,41,0,0,0,0,0,0,0,0,1,4,35,0,0,1,0
26771,スカンディナヴィア,68043,14840,False,0,,,,,,,,,,,,,,,,
29195,西サハラ,108690,23803,False,1,,,,,,,,,,,,,,,,
29520,中国大陸,80382,18540,False,0,24,0,0,0,0,12,0,0,0,2,7,2,0,0,1,0
31400,モンゴル高原,30503,7075,False,1,,,,,,,,,,,,,,,,
35653,モルダヴィア,40238,13284,False,0,60,1,1,0,0,13,0,0,2,3,24,1,13,2,0,0
38311,任那,99685,35292,False,0,44,0,0,0,0,4,2,1,0,6,27,2,0,0,2,0
45763,カム (チベット),52854,17893,False,0,,,,,,,,,,,,,,,,
46159,北アジア,47862,9780,False,0,36,0,0,0,0,0,0,0,0,2,10,6,0,17,1,0
46508,ブラックアフリカ,30629,8477,False,0,7,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
46987,ローデシア,50388,14199,False,0,,,,,,,,,,,,,,,,
51909,マケドニア,64510,15806,False,0,,,,,,,,,,,,,,,,
53800,コーカサス,102977,23960,False,0,,,,,,,,,,,,,,,,
65639,ネーデルラント,34753,9750,False,0,,,,,,,,,,,,,,,,
67294,ゲルマニア,26506,7982,False,0,17,0,0,0,0,1,0,1,1,2,6,1,3,2,0,0
67320,ブルーバナナ,24512,6725,False,0,17,9,0,0,0,6,1,0,0,1,0,0,0,0,0,0
67756,欧米,28851,9074,False,0,16,0,0,0,0,0,0,1,0,0,4,9,1,0,1,0
68137,プレーリー,30977,8379,False,0,,,,,,,,,,,,,,,,
69004,中部アフリカ,45621,9869,False,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0
71030,極東,29885,8602,False,0,,,,,,,,,,,,,,,,
71034,南ヨーロッパ,55716,10235,False,0,35,0,0,0,0,4,0,0,0,2,24,4,0,0,1,0
71046,南部アフリカ,51096,11452,False,0,25,0,0,0,0,1,1,0,0,2,14,2,3,1,1,0
73687,ポメラニア,51814,14928,False,0,70,21,0,0,0,10,0,0,6,2,8,3,18,2,0,0
74870,カシミール,115569,24924,False,0,83,2,0,0,0,6,0,1,18,1,39,0,8,8,0,0
79548,グランチャコ,32332,7987,False,0,10,0,0,0,0,1,1,0,0,3,4,0,0,0,0,1
82061,アクサイチン,76363,15568,False,1,13,0,0,0,0,7,1,0,2,2,0,0,0,0,0,1
82298,第三世界,29559,8142,False,0,,,,,,,,,,,,,,,,
86563,北欧,64865,13846,False,0,61,0,0,0,0,7,1,0,0,1,25,3,10,13,1,0
96097,アフリカの角,41271,11700,False,0,62,3,0,0,0,6,0,0,5,1,37,4,6,0,0,0
98520,メソアメリカ,34561,9331,False,0,14,0,0,0,0,1,0,1,0,2,5,5,0,0,0,0
101497,旧北区,27673,6852,False,0,9,0,0,0,0,3,0,0,0,0,3,1,0,0,1,1
101498,東洋区,24998,6346,False,0,16,0,0,0,0,3,0,0,0,0,3,8,0,0,1,1
101501,エチオピア区,27813,6926,False,0,10,0,0,0,0,2,0,0,0,1,1,4,0,0,1,1
101503,オーストラリア区,33696,9953,False,0,,,,,,,,,,,,,,,,
101504,オセアニア区,26443,6659,False,0,9,0,0,0,0,1,0,0,0,1,3,2,0,0,1,1
101506,新北区,26136,6868,False,0,,,,,,,,,,,,,,,,
101509,新熱帯区,26023,6825,False,0,,,,,,,,,,,,,,,,
109050,シレジア,87740,26929,False,0,123,3,0,0,0,11,0,1,13,2,48,0,32,11,2,0
134812,フェニキア,51779,15020,False,0,,,,,,,,,,,,,,,,
140734,ホラズム,48208,16595,False,0,59,3,0,0,0,15,0,0,0,4,30,1,4,2,0,0
144482,ソグディアナ,29028,8475,False,0,,,,,,,,,,,,,,,,
150788,ダキア,59148,19633,False,1,59,4,0,0,0,2,1,1,2,3,10,5,22,9,0,0
152605,トラキア,39860,11026,False,1,,,,,,,,,,,,,,,,
156224,キプチャク草原,42225,12896,False,0,,,,,,,,,,,,,,,,
156238,中央ユーラシア,33157,9694,False,0,31,0,0,0,0,0,0,0,0,3,8,0,4,15,1,0
158302,中央ヨーロッパ,73020,16849,False,0,60,2,0,0,0,7,0,0,3,1,32,4,4,6,1,0
163049,パノティア大陸,56000,10471,False,0,,,,,,,,,,,,,,,,
165459,マー・ワラー・アンナフル,125504,34454,False,0,123,20,0,0,0,3,1,1,1,4,60,3,25,5,0,0
167205,リヴォニア,49185,11387,False,0,,,,,,,,,,,,,,,,
172206,カレリア,42053,11547,False,0,,,,,,,,,,,,,,,,
180034,大陸ヨーロッパ,24984,7121,False,0,10,0,0,0,0,6,0,0,0,1,1,1,0,0,1,0
187979,北極圏,114915,16329,False,0,,,,,,,,,,,,,,,,
199749,ボスニア,77339,19709,False,0,69,1,0,0,0,5,1,0,12,1,31,0,15,3,0,0
200841,ダルマチア,55164,13218,False,0,42,6,0,0,0,4,0,1,2,2,15,3,4,5,0,0
207146,ラップランド,46665,15750,False,0,,,,,,,,,,,,,,,,
207493,フランドル,37644,10853,False,0,34,12,0,0,0,13,1,0,1,1,6,0,0,0,0,0
212016,パタゴニア,43658,13151,False,0,22,0,0,0,0,2,1,1,0,1,11,1,4,0,1,0
215936,レバント,38842,10825,False,0,33,0,0,0,0,7,1,0,0,4,20,1,0,0,0,0
224775,ユーラメリカ大陸,55802,9694,False,0,,,,,,,,,,,,,,,,
234354,ヨルダン川西岸地区,71256,20351,False,1,,,,,,,,,,,,,,,,
253731,朝鮮,113001,23698,False,2,90,2,1,1,2,26,4,1,1,2,17,5,20,2,4,2
270222,リンブルフ,28905,8784,False,0,39,2,0,0,0,5,1,0,0,1,15,3,0,12,0,0
272486,コロンビア大陸,54491,9324,False,0,,,,,,,,,,,,,,,,
278806,中国東北部,42955,12872,False,0,,,,,,,,,,,,,,,,
299133,外蒙古,93157,22938,False,0,32,0,0,0,0,13,5,4,0,1,3,2,3,0,1,0
311967,リムランド,21193,6111,False,0,,,,,,,,,,,,,,,,
314647,MUFGプラザ,24523,7854,False,0,,,,,,,,,,,,,,,,
339792,アジア,200991,41835,False,1,473,51,1,0,1,2,2,1,0,9,193,132,5,75,0,1
340584,ベネルクス,58096,12741,False,0,51,3,2,1,0,4,0,1,0,0,20,3,0,16,0,1
343562,セネガンビア,35216,10380,False,0,18,0,0,0,0,1,0,1,0,1,12,1,0,2,0,0
357634,ルパート・ランド,78514,16830,False,0,,,,,,,,,,,,,,,,
361206,バダフシャーン,51866,18370,False,0,,,,,,,,,,,,,,,,
367360,チロル,72180,22201,False,1,,,,,,,,,,,,,,,,
371067,ヴォズロジデニヤ島,33169,9536,False,0,,,,,,,,,,,,,,,,
394799,オーストララシア,43782,10494,False,0,,,,,,,,,,,,,,,,
400010,南極圏,85588,10959,False,0,,,,,,,,,,,,,,,,
401213,アンダルス,70336,23308,False,1,50,4,0,0,0,4,3,1,4,1,8,3,7,15,0,0
434449,タイファ,46631,15068,False,0,,,,,,,,,,,,,,,,
445501,肥沃な三日月地帯,26591,7939,False,0,18,0,0,0,0,1,1,1,0,1,12,1,0,0,1,0
469456,アルデンヌ,33362,9356,False,0,18,0,0,0,0,3,1,1,4,1,4,2,0,2,0,0
513123,ポリネシアン・トライアングル,35982,8542,False,0,15,0,0,0,0,1,0,0,0,1,2,6,2,3,0,0
537679,ヌビア,30915,8099,False,0,15,3,0,0,0,2,1,0,0,1,3,0,1,4,0,0
539918,東アジア,140222,40758,False,4,118,0,2,0,0,24,0,0,8,5,62,9,3,0,1,4
547357,ヒスパニア,64096,10432,False,6,,,,,,,,,,,,,,,,
572050,プスタ,23322,6547,False,0,,,,,,,,,,,,,,,,
611203,カリマンタン,42256,9816,False,0,33,5,2,2,0,3,1,0,0,2,9,4,0,2,0,3
613570,東側諸国,116419,23629,False,0,74,0,0,0,0,5,1,0,13,1,46,7,0,0,1,0
645114,北東アジア,42726,14806,False,0,44,0,0,0,0,6,3,2,3,3,6,5,13,2,1,0
654659,ティハーマ,46234,9294,False,0,25,13,0,0,0,5,0,0,0,3,2,1,0,0,1,0
657897,特定アジア,85221,29727,False,0,,,,,,,,,,,,,,,,
665035,オーストラリア大陸,78648,17543,False,0,17,0,0,0,0,0,1,2,0,2,1,3,5,0,1,2
669718,西半球,84456,10520,False,0,,,,,,,,,,,,,,,,
669723,東半球,84626,10531,False,0,15,0,0,0,0,3,0,0,0,1,0,10,0,0,1,0
703089,シベリア大陸,31030,8717,False,0,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
719170,五大州,58303,10229,False,0,,,,,,,,,,,,,,,,
740147,地中海世界,75214,25211,False,0,117,5,0,0,0,0,0,0,8,1,57,35,8,2,1,0
752709,カルデア,29579,9571,False,0,,,,,,,,,,,,,,,,
754739,フレンチ・ルイジアナ,27178,8034,True,0,16,0,0,0,0,3,0,1,0,2,5,0,5,0,0,0
758437,カッパーベルト,25999,7280,False,0,9,3,0,0,0,1,0,0,0,2,3,0,0,0,0,0
803100,クバーニ,43833,10779,False,0,,,,,,,,,,,,,,,,
817155,カタルーニャ語圏,31301,8306,False,0,22,1,0,0,0,3,1,0,0,1,4,5,0,6,1,0
900999,ギアナ地方,31869,8982,False,0,22,0,0,0,0,3,0,2,0,2,10,3,0,1,0,1
909372,サヘル,41037,12987,False,0,,,,,,,,,,,,,,,,
911779,イレミ・トライアングル,31964,8138,False,0,31,0,0,0,0,2,1,0,0,1,7,0,13,6,0,1
921307,ドブロジャ,29847,7997,False,0,40,8,0,0,0,4,1,1,3,1,13,4,1,4,0,0
944797,七大州,57206,9655,False,0,,,,,,,,,,,,,,,,
946057,メガラニカ,40877,13181,False,0,,,,,,,,,,,,,,,,
949765,イングリア,32285,9081,False,0,,,,,,,,,,,,,,,,
952926,VISTA,33319,11019,False,0,15,0,0,0,0,1,1,1,0,1,10,0,1,0,0,0
955013,インド文化圏,56323,10196,False,0,18,0,0,0,0,2,0,0,0,2,8,6,0,0,0,0
972874,バルーチスターン,66436,14531,False,0,59,0,0,0,0,6,1,0,4,1,22,5,11,9,0,0
988295,スパニッシュ・メイン,22172,6020,False,0,9,0,0,0,0,1,1,0,0,1,3,3,0,0,0,0
1023674,ブラバント,24237,6711,True,0,18,0,0,0,0,3,0,1,0,1,11,2,0,0,0,0
1035958,フェノスカンジア,38165,10237,False,0,14,0,0,0,0,3,0,1,0,2,5,3,0,0,0,0
1069663,ロシア (名称),39015,14288,False,0,39,0,0,0,0,9,3,0,0,1,25,1,0,0,0,0
1086432,ベンガル地方,60301,14830,False,1,57,8,1,0,1,4,1,1,0,2,26,1,2,9,0,1
1091377,ブコビナ,40854,10030,False,0,,,,,,,,,,,,,,,,
1097431,極東ロシア,60995,20669,False,0,,,,,,,,,,,,,,,,
1170119,南コーカサス,39639,11332,False,0,65,0,0,0,0,14,1,0,0,1,28,3,11,6,1,0
1175563,太平洋岸北西部,90815,41666,False,0,122,16,0,0,0,8,0,1,4,3,17,40,19,13,1,0
1187785,アイオリス,29588,8689,False,0,,,,,,,,,,,,,,,,
1295880,小協商,26357,7480,False,0,,,,,,,,,,,,,,,,
1302910,バルティスターン,35496,8850,False,0,,,,,,,,,,,,,,,,
1337802,マケドニア (ギリシャ),94228,32658,False,0,,,,,,,,,,,,,,,,
1390432,オセチア,28264,8557,False,0,45,3,0,0,0,8,0,1,0,2,4,16,7,4,0,0
1398724,コーノ・スール,60520,22215,False,0,120,4,0,0,0,3,0,0,1,3,60,1,28,20,0,0
1414175,コイレ・シリア,31801,10627,False,0,,,,,,,,,,,,,,,,
1425340,エディサン,35663,9244,False,0,39,0,0,0,0,8,1,1,2,3,12,1,6,5,0,0
1426345,大アルバニア,65883,24536,False,0,,,,,,,,,,,,,,,,
1428973,サンジャク (地名),73895,30849,False,0,,,,,,,,,,,,,,,,
1431790,ジャズィーラ,35598,13015,False,0,,,,,,,,,,,,,,,,
1437754,大クロアチア,82606,31393,False,0,,,,,,,,,,,,,,,,
1461639,大ルーマニア,50821,15084,False,0,30,0,0,0,0,4,0,0,7,1,7,0,8,2,0,1
1470694,タウリカ,39201,12301,False,0,46,8,0,0,0,14,2,1,1,1,6,1,11,1,0,0
1473659,マウレタニア,81503,15259,False,0,,,,,,,,,,,,,,,,
1479264,ベイリク,48761,15017,False,0,,,,,,,,,,,,,,,,
1506285,ヒンドゥスターン,35472,9609,False,0,33,0,0,0,0,6,1,0,0,8,7,4,0,7,0,0
1551356,サフル大陸,32256,10119,False,0,18,0,0,0,0,0,1,2,0,1,5,8,0,0,1,0
1561900,マグナ・グラエキア,48323,15301,False,0,,,,,,,,,,,,,,,,
1570823,ネウストリア,52326,18393,False,0,,,,,,,,,,,,,,,,
1592547,サルダーニャ,49573,18544,False,0,73,10,1,1,1,6,0,0,0,1,30,0,15,7,0,1
1597473,カスカディア,50294,19761,False,0,,,,,,,,,,,,,,,,
1612985,バナト,93939,33201,False,0,192,8,2,2,0,10,3,0,6,2,61,2,85,11,0,0
1630283,北西アフリカ,26436,6677,False,0,37,0,0,0,0,1,0,0,0,2,28,5,0,0,1,0
1654577,アルバニア・ヴェネタ,51160,20573,False,0,,,,,,,,,,,,,,,,
1673227,ルメリア,37525,10061,False,0,,,,,,,,,,,,,,,,
1689612,フリースラント,42695,12679,False,0,,,,,,,,,,,,,,,,
1693140,中東欧,59723,12384,False,0,54,0,0,0,0,2,1,0,0,1,45,4,0,0,1,0
1695557,熱赤道,22030,6596,False,0,,,,,,,,,,,,,,,,
1719388,ポリーシャ,46480,12154,False,0,50,3,0,0,0,5,1,1,2,2,21,0,13,2,0,0
1747181,スロボダ・ウクライナ,39507,10222,False,0,,,,,,,,,,,,,,,,
1763937,ニューホランド (オーストラリア),24037,6697,False,0,7,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0
1769197,イスパノアメリカ,48446,13161,False,0,36,0,1,0,0,2,1,0,0,1,20,1,0,9,0,1
1772008,ベルガエ,33857,9056,False,0,,,,,,,,,,,,,,,,
1823967,アウストラシア,46382,13948,False,0,23,1,0,0,0,4,2,1,1,1,12,0,1,0,0,0
1849478,北コーカサス,45702,11025,False,0,59,0,0,0,0,11,0,0,4,2,9,6,24,3,0,0
1882534,シベリア,85453,25466,False,0,138,35,0,0,0,5,1,2,8,4,28,19,30,4,2,0
1920009,チャメリア,79044,26774,False,0,124,17,1,1,0,11,2,1,5,3,29,3,41,10,0,0
1927702,大チベット区,23431,6708,False,0,8,0,0,0,0,2,1,0,0,1,1,0,1,1,1,0
1943876,アジア太平洋,28044,7665,False,0,,,,,,,,,,,,,,,,
1974696,ハラーイブ・トライアングル,46210,15050,False,1,,,,,,,,,,,,,,,,
1977893,環太平洋地域,63153,13123,False,0,,,,,,,,,,,,,,,,
1999396,バクトリア,79702,31000,False,0,,,,,,,,,,,,,,,,
2039512,チベット,220726,70056,False,4,51,0,0,0,0,27,2,2,4,1,0,0,8,1,5,1
2043322,旧ドイツ東部領土,178490,44978,False,0,57,0,0,0,0,1,0,0,23,1,4,7,17,3,1,0
2075842,ルゾフォニア,28244,7531,False,0,,,,,,,,,,,,,,,,
2082917,テッラ・マリアナ,43796,10495,False,0,36,3,0,0,0,3,0,2,8,1,11,2,1,5,0,0
2086262,北インド,51352,14103,False,0,45,1,0,0,0,8,0,1,3,2,17,0,1,12,0,0
2113289,ビル・タウィール,39032,11403,False,1,,,,,,,,,,,,,,,,
2123224,EMEA,27401,7813,False,0,5,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0
2150873,スペースクラフト・セメタリー,28427,7614,False,0,,,,,,,,,,,,,,,,
2201470,スレム,111989,32603,False,0,,,,,,,,,,,,,,,,
2228865,ノイシュヴァーベンラント,65165,21163,False,0,16,0,0,0,0,6,1,1,1,0,3,3,0,1,0,0
2291676,バルトの虎,38469,11488,False,0,27,0,0,0,0,1,1,3,0,1,18,3,0,0,0,0
2292889,エドム,22205,6444,False,0,,,,,,,,,,,,,,,,
2351573,北部海岸 (カリフォルニア州),91059,16410,False,1,,,,,,,,,,,,,,,,
2360859,アフロアジア,20234,5497,False,0,15,0,0,0,0,4,1,0,0,4,0,6,0,0,0,0
2361756,マレシア植物区系区,25243,6611,False,0,,,,,,,,,,,,,,,,
2400443,CIVETS,24845,7125,False,0,,,,,,,,,,,,,,,,
2482278,ヴィリナ県,23944,6803,False,1,,,,,,,,,,,,,,,,
2493546,バチュカ,103034,30920,False,0,198,14,1,1,0,9,2,1,3,2,64,1,65,33,2,0
2500653,ボサンスカ・クライナ,84708,25352,False,0,125,38,0,0,0,13,1,1,10,3,17,9,30,3,0,0
2542425,東部占領地域,75271,13240,False,0,8,0,0,0,0,2,0,1,0,0,4,0,0,0,1,0
2577592,ジーランディア,43397,15901,False,0,,,,,,,,,,,,,,,,
2577598,アトランティカ大陸,31550,11113,False,0,,,,,,,,,,,,,,,,
2595649,バールバラ大陸,75531,21540,False,0,,,,,,,,,,,,,,,,
2626094,サブサハラアフリカ,62560,13242,False,0,117,0,1,1,0,8,0,0,0,2,70,19,0,16,0,0
2680181,中立地帯 (サウジアラビアとイラク),40722,11228,False,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2680451,中央アメリカ州,90120,15964,False,1,79,10,1,1,0,3,0,2,0,4,25,26,0,5,0,2
2696559,トゥーラーン,87052,30556,False,0,59,0,0,0,0,3,5,2,0,6,6,1,23,13,0,0
2727328,東南ヨーロッパ,44175,10199,False,0,,,,,,,,,,,,,,,,
2727896,モグーリスタン,47739,15370,False,0,29,3,0,0,0,3,1,0,0,3,15,2,2,0,0,0
2778895,アーザルバーイジャーン,39578,10146,False,0,,,,,,,,,,,,,,,,
2799836,ケルト国,199193,48529,False,0,,,,,,,,,,,,,,,,
2813808,支那,146497,56750,False,3,,,,,,,,,,,,,,,,
2863570,地中海盆地,45054,14078,False,0,,,,,,,,,,,,,,,,
2922202,アルモリカ,65144,27182,False,0,79,0,0,0,0,9,1,1,2,7,3,6,44,6,0,0
2959545,ルテニア,33830,8422,False,0,,,,,,,,,,,,,,,,
3205206,苫小牧東部地域,76214,18015,False,1,,,,,,,,,,,,,,,,
3243993,ユーラシア・ステップ,31835,8103,False,0,25,0,0,0,0,1,0,0,0,1,6,7,10,0,0,0
3244469,東トラキア,23866,6572,False,0,,,,,,,,,,,,,,,,
3289810,カリブ海地域,107053,24015,False,1,83,11,1,1,2,8,1,0,0,5,11,23,10,7,1,2
3309171,セミレチエ地方,41988,11811,False,0,32,4,0,0,0,1,1,1,0,3,16,1,5,0,0,0
3339906,北部アメリカ,100939,16710,False,1,56,15,1,2,0,1,0,1,0,2,12,14,0,5,1,2
3377663,小リトアニア,40352,12902,False,0,63,0,0,0,0,8,0,0,5,0,24,4,13,8,0,1
3454317,ポントス・カスピ海草原,25814,6987,False,0,,,,,,,,,,,,,,,,
3469433,マーベルランド (ワルキューレシリーズ),68179,26113,False,0,,,,,,,,,,,,,,,,
3499575,バルバリア海岸,37577,10450,False,0,,,,,,,,,,,,,,,,
3576727,大モロッコ,31861,8701,False,0,,,,,,,,,,,,,,,,
3610615,ララミディア大陸,38864,11162,False,0,,,,,,,,,,,,,,,,
