page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,与党・支持基盤,別名,前内閣,国,成立年,成立直前の選挙,条約,次内閣,歴代の元首・首班,歴代閣僚,解散年,読み,首班の地位職業
372723,第3次吉田内閣 (第1次改造),68322,13210,False,1,39,3,2,2,1,2,0,0,0,4,17,2,0,6
372741,第3次吉田内閣 (第2次改造),65355,12670,False,1,38,5,2,1,2,2,0,1,0,4,17,0,0,4
373498,第3次吉田内閣 (第3次改造),74969,16159,False,1,77,6,4,2,3,2,0,0,0,3,47,2,0,8
373518,第2次橋本内閣 (改造),62699,11573,False,1,49,7,2,1,1,2,0,0,0,3,26,3,0,4
377628,竹下内閣,79272,14860,False,1,46,3,0,0,1,4,0,0,1,3,25,3,1,5
377639,竹下内閣 (改造),73698,13388,False,1,51,6,4,2,1,2,0,0,1,3,26,3,0,3
377651,鈴木善幸内閣 (改造),57897,10066,False,1,34,0,2,1,1,2,0,0,0,3,21,2,0,2
377688,第4次吉田内閣,68621,12342,False,1,43,2,0,0,1,2,1,0,0,3,29,2,1,2
382958,宮澤内閣 (改造),78073,18263,False,1,72,13,2,2,2,2,0,0,0,8,36,2,0,5
389324,宮澤内閣,62401,11026,False,1,34,1,0,0,1,2,0,0,0,3,21,2,1,3
414339,第5次吉田内閣,73347,15937,False,1,56,5,0,0,2,2,1,0,0,3,36,2,1,4
414382,第1次鳩山一郎内閣,59202,10129,False,1,33,1,0,0,1,2,0,0,0,3,19,2,1,4
414403,第2次鳩山一郎内閣,58110,10079,False,1,29,0,0,0,1,2,0,0,0,3,20,0,1,2
414410,第3次鳩山一郎内閣,64633,12205,False,1,44,2,0,1,1,2,1,1,0,6,19,2,1,8
414918,第1次田中角栄内閣,62336,11451,False,1,45,1,1,0,1,2,2,2,1,6,22,0,1,6
414937,第2次田中角栄内閣,57725,10066,False,1,34,0,0,0,1,2,0,0,0,3,22,2,1,3
416087,第2次田中角栄内閣 (第1次改造),66603,12687,False,1,47,3,3,1,1,3,0,0,0,4,27,2,0,3
416088,第2次田中角栄内閣 (第2次改造),60395,10953,False,1,36,0,2,1,1,2,0,0,0,3,25,0,0,2
418042,加藤高明内閣,72444,18646,False,1,67,19,2,1,1,2,0,1,1,5,23,2,1,9
425187,加藤友三郎内閣,59709,12229,False,1,63,12,0,2,1,2,0,0,0,9,13,2,1,21
435193,石橋内閣,60852,11720,False,1,60,1,0,0,1,2,0,0,0,3,27,2,1,23
435220,第1次岸内閣,59152,10401,False,1,34,0,0,1,1,2,0,0,0,4,21,0,1,4
435237,第1次岸内閣 (改造),60818,10724,False,1,34,1,2,2,1,2,0,0,0,3,19,2,0,2
437603,第2次岸内閣,64551,11957,False,1,47,2,0,0,1,2,1,0,0,4,31,2,1,3
437708,第2次岸内閣 (改造),60897,10723,False,1,37,0,2,2,1,2,0,1,0,4,21,2,0,2
437726,第1次海部内閣,60797,10989,False,1,35,1,0,0,1,2,0,0,0,3,23,2,1,2
437732,第2次海部内閣,57706,10083,False,1,31,0,0,0,1,2,0,0,0,3,22,0,1,2
437746,第2次海部内閣 (改造),59131,10616,False,1,38,1,2,1,2,2,0,0,0,3,22,2,0,3
438627,第2次桂内閣,55208,9754,False,1,31,1,0,0,1,2,0,1,0,4,11,2,1,8
440117,小磯内閣,88226,18021,False,1,51,5,1,3,1,2,0,0,0,4,22,2,1,10
441837,三木内閣,70687,14389,False,1,45,3,1,1,1,2,0,0,0,4,25,2,1,5
442804,第1次池田内閣,61221,10802,False,1,32,1,1,0,2,2,0,0,0,3,20,0,1,2
443476,第2次池田内閣,57303,10117,False,1,41,12,0,0,1,2,0,0,0,3,18,2,1,2
461962,三木内閣 (改造),61121,11430,False,1,41,3,4,1,1,2,0,0,0,3,24,0,0,3
466295,第2次池田内閣 (第1次改造),59523,10554,False,1,35,1,2,1,1,2,0,0,0,3,20,2,0,3
467125,第2次池田内閣 (第2次改造),63954,12099,False,1,47,2,2,2,1,2,1,0,0,4,27,2,0,4
467152,第2次池田内閣 (第3次改造),66345,11988,False,1,35,2,2,2,1,2,0,0,0,4,19,0,0,3
467203,第3次池田内閣,61141,10949,False,1,61,19,0,1,1,2,2,0,0,5,22,2,1,6
467227,第3次池田内閣 (改造),61530,10956,False,1,42,7,2,1,2,2,1,0,0,5,18,0,0,4
467439,第1次佐藤内閣,59347,10199,False,1,35,0,0,1,1,2,0,0,0,4,20,2,1,4
470999,第1次佐藤内閣 (第1次改造),65222,12113,False,1,56,17,3,2,1,2,0,2,0,3,22,2,0,2
472175,第1次佐藤内閣 (第2次改造),58529,10450,False,1,45,13,2,1,1,2,0,0,0,3,21,0,0,2
473105,第1次佐藤内閣 (第3次改造),65103,12582,False,1,44,5,2,1,1,2,2,0,0,5,20,2,0,4
473147,福田赳夫内閣,60741,11085,False,1,36,1,1,0,1,2,0,0,0,3,22,2,1,3
476649,第2次佐藤内閣,58235,10431,False,1,31,0,0,1,1,2,1,0,0,3,19,0,1,3
476661,第2次佐藤内閣 (第1次改造),59294,10694,False,1,34,0,2,1,1,2,0,0,0,3,20,2,0,3
476681,第2次佐藤内閣 (第2次改造),59959,10387,False,1,34,1,2,1,1,2,1,0,0,3,19,2,0,2
476774,福田赳夫内閣 (改造),62722,11867,False,1,43,1,3,1,1,2,0,2,0,5,22,2,0,4
476787,第2次西園寺内閣,59257,10599,False,1,31,3,0,1,1,2,0,0,0,3,14,2,1,4
476803,第3次桂内閣,60329,11355,False,1,35,1,0,1,1,2,0,0,0,6,13,2,1,8
476809,第1次大平内閣,58517,10186,False,1,33,1,0,0,1,2,0,0,0,3,21,2,1,2
476903,第2次大平内閣,74619,16394,False,1,59,5,0,1,2,2,2,1,0,7,25,2,1,11
476973,第3次佐藤内閣,61050,11025,False,1,36,1,0,0,1,2,0,2,0,3,22,2,1,2
477170,第3次佐藤内閣 (改造),64806,12864,False,1,44,0,3,1,1,2,0,2,0,5,24,2,0,4
478977,第1次山本内閣,62338,12221,False,1,37,2,0,1,1,2,0,0,0,5,18,2,1,5
490397,第2次大隈内閣,66977,15000,False,1,49,7,0,1,1,2,0,1,0,3,27,2,1,4
492089,寺内内閣,65438,13926,False,1,46,3,1,1,2,3,0,1,2,9,14,2,1,7
492125,高橋内閣,54198,9324,False,1,31,1,1,1,1,2,0,0,0,4,13,2,1,5
492216,第2次山本内閣,57580,10337,False,1,37,1,2,1,1,2,0,0,0,2,22,2,1,3
492224,清浦内閣,67529,12184,False,1,66,12,0,0,1,3,0,0,0,5,35,1,1,8
493306,第1次若槻内閣,64237,14170,False,1,41,2,1,0,1,2,0,0,0,8,19,2,1,5
494002,田中義一内閣,82518,22959,False,1,60,7,4,1,1,2,0,0,0,4,27,2,1,11
494023,第2次若槻内閣,67688,16041,False,1,35,1,0,1,1,2,0,0,0,4,21,0,1,4
495407,犬養内閣,78224,16203,False,1,47,6,0,0,3,2,0,0,0,6,16,2,1,11
495646,齋藤内閣,163535,31934,False,1,90,6,6,0,1,4,0,2,0,7,43,4,1,16
544974,イラク正式政府,23920,7759,False,0,42,14,0,1,2,1,2,0,0,4,12,0,1,5
583903,原内閣,59219,10395,False,1,34,2,0,0,2,2,0,0,0,6,14,2,1,5
702728,大平内閣,21115,5911,True,0,,,,,,,,,,,,,,
720729,鳩山内閣,22674,6661,True,0,,,,,,,,,,,,,,
827679,中曽根内閣,21584,6261,True,0,,,,,,,,,,,,,,
827712,吉田内閣,23350,6489,True,0,,,,,,,,,,,,,,
890310,近衛内閣,21457,6013,True,0,,,,,,,,,,,,,,
903455,鰻香内閣,34430,11815,False,0,,,,,,,,,,,,,,
984847,大隈内閣,21007,5882,True,0,,,,,,,,,,,,,,
984868,山本内閣,21012,5883,True,0,,,,,,,,,,,,,,
984910,岸内閣,21470,6040,True,0,,,,,,,,,,,,,,
984914,池田内閣,22873,6451,True,0,,,,,,,,,,,,,,
1055044,第1次安倍内閣,142585,33429,False,1,108,23,4,0,4,2,2,0,3,5,47,4,1,13
1063130,小泉内閣,21684,6429,True,0,,,,,,,,,,,,,,
1104022,第1次安倍内閣 (改造),129681,31259,False,1,77,16,8,1,1,3,1,0,1,3,33,1,0,9
1137140,海部内閣,21134,5977,True,0,,,,,,,,,,,,,,
1145064,佐藤内閣,23693,6613,True,0,,,,,,,,,,,,,,
1165198,福田康夫内閣,119941,29732,False,1,84,12,5,8,1,3,1,0,1,6,31,2,1,13
1165257,福田内閣,21515,6448,True,0,,,,,,,,,,,,,,
1361687,第1次ロマーノ・プローディ内閣,41443,10228,False,0,49,16,1,0,1,1,0,0,0,2,22,1,1,4
1361700,第2次ロマーノ・プローディ内閣,72051,14955,False,1,58,3,1,1,2,2,2,0,1,6,29,2,1,8
1471079,第1次ミハイル・フラトコフ内閣,37953,8588,False,0,30,0,1,2,1,2,0,0,2,3,16,0,0,3
1472212,第2次ミハイル・フラトコフ内閣,51457,13407,False,0,47,0,1,1,1,1,0,0,0,3,31,2,0,7
1489708,第2次ウラジーミル・プーチン内閣,58131,13621,False,0,,,,,,,,,,,,,,
1516511,福田康夫内閣 (改造),210311,34225,False,1,57,13,5,0,1,2,0,0,0,4,28,2,0,2
1521708,鳩山一郎内閣,21541,6057,True,0,,,,,,,,,,,,,,
1521734,橋本内閣,21157,5985,True,0,,,,,,,,,,,,,,
1523428,予算管理内閣,23909,6984,False,0,,,,,,,,,,,,,,
1523430,選挙管理内閣,28043,7866,False,0,,,,,,,,,,,,,,
1537266,ブラウン内閣,85936,12646,False,0,45,0,0,0,2,1,0,0,1,2,31,1,0,7
1547682,プラチャンダ内閣,36807,9265,False,0,66,22,0,0,2,1,0,0,0,8,26,1,1,5
1580357,麻生内閣,377451,110547,False,1,193,33,4,1,0,3,1,2,0,8,95,3,1,42
1589783,ブラウン内閣 (第2次改造),59341,11862,False,0,49,0,2,1,2,1,0,0,1,2,29,0,0,11
1705309,第3次ブレア内閣 (改造),55590,12378,False,0,56,2,2,0,3,2,2,0,2,3,30,2,0,8
1797504,ブラウン内閣 (第3次改造),96114,21156,False,0,72,7,2,1,4,1,2,0,0,3,32,1,0,19
1820019,ヴィクトル・ズプコフ内閣,45448,8387,False,0,31,0,2,1,1,2,0,0,0,2,20,2,0,1
1820130,ミハイル・カシヤノフ内閣,63300,10523,False,0,49,0,1,1,1,1,1,0,0,3,38,0,0,3
1912024,鳩山由紀夫内閣,159533,34360,False,1,86,41,0,0,1,3,2,0,0,4,25,3,1,6
1971047,第4次ベルルスコーニ内閣,43644,10528,False,0,50,12,1,0,1,1,1,0,0,2,27,0,1,4
2088699,第1次キャメロン内閣,103719,18156,False,1,111,13,1,2,7,2,6,0,2,6,61,1,1,9
2154683,菅内閣,187452,41262,False,1,84,6,7,7,1,3,2,0,1,6,38,0,1,12
2200657,第2次メルケル内閣,41351,9572,False,0,45,9,1,1,2,1,0,0,3,3,20,2,1,2
2252633,菅内閣 (第1次改造),152214,30839,False,1,85,28,5,0,1,3,4,1,1,5,28,3,0,6
2273895,菅内閣 (第2次改造),327825,76642,False,1,162,24,6,3,14,6,2,0,4,10,63,4,0,26
2418374,野田内閣,224256,52636,False,1,138,21,16,3,5,8,5,0,2,3,48,4,1,22
2499361,野田内閣 (第1次改造),239127,49260,False,1,102,19,4,2,1,4,0,0,2,12,42,3,0,13
2510473,第1次メルケル内閣,38131,9359,False,0,44,9,1,1,4,1,0,0,2,3,18,2,1,2
2510731,第2次シュレーダー内閣,31281,7727,False,0,28,0,1,1,2,2,1,0,2,2,13,2,1,1
2575413,第1次ジャン＝マルク・エロー内閣,106246,20469,False,1,141,18,6,2,4,2,1,0,2,9,76,1,1,19
2578690,ドミートリー・メドヴェージェフ内閣,66760,12322,False,0,50,0,1,0,1,1,1,0,0,3,39,0,0,4
2585107,野田内閣 (第2次改造),142042,24478,False,1,50,5,2,2,1,2,0,0,0,4,24,2,0,8
2651031,野田内閣 (第3次改造),108642,23057,False,1,104,33,4,1,1,2,2,0,0,15,37,2,0,7
2690664,モンティ内閣,59148,12294,False,1,46,2,2,1,3,1,0,0,1,6,19,2,1,8
2699704,第2次安倍内閣,315786,94348,False,1,,,,,,,,,,,,,,
2700274,安倍内閣,23573,6951,True,0,,,,,,,,,,,,,,
2757962,第2次ジャン＝マルク・エロー内閣,105616,20327,False,1,156,20,5,3,3,4,2,0,1,12,86,2,1,17
2763026,ジャン＝マルク・エロー内閣,23191,6383,True,0,,,,,,,,,,,,,,
2770050,第2次ギラード内閣,31276,10369,False,0,50,2,1,0,1,1,0,0,1,2,38,0,0,4
2811300,第2次ラッド内閣,27792,8419,False,0,49,1,1,0,1,1,0,0,0,3,38,0,0,4
2839368,第3次フランソワ・フィヨン内閣,135539,26163,False,1,137,7,7,3,2,3,0,0,2,14,84,3,1,11
2883572,フランソワ・フィヨン内閣,23957,6500,True,0,,,,,,,,,,,,,,
2897007,第1次ウラジーミル・プーチン内閣,75422,14299,False,1,54,0,2,1,2,2,0,0,0,4,39,1,0,3
2935578,レンツィ内閣,83941,17469,False,1,67,26,1,2,3,1,0,0,1,4,20,1,1,7
2947215,レッタ内閣,68347,15234,False,1,63,24,1,1,2,1,3,0,1,4,22,1,1,2
2972284,第1次マニュエル・ヴァルス内閣,111935,23529,False,1,,,,,,,,,,,,,,
3035656,第2次ディズレーリ内閣,94527,16306,False,0,51,3,3,2,1,1,1,0,1,4,27,1,0,7
3036472,第1次グラッドストン内閣,97452,15868,False,0,52,5,1,2,2,2,1,0,2,5,23,3,0,6
3037433,第2次グラッドストン内閣,99235,18203,False,0,49,4,1,1,2,2,1,0,2,6,21,2,0,7
3046506,第2次マニュエル・ヴァルス内閣,69556,12104,False,1,82,8,3,1,3,2,1,0,1,6,50,2,1,4
3049226,第2次安倍内閣 (改造),182685,47118,False,1,,,,,,,,,,,,,,
3058973,第2次ソールズベリー侯爵内閣,104875,18418,False,0,67,14,2,2,4,2,1,1,1,4,22,2,0,12
3059999,第1次ディズレーリ内閣,79280,13664,False,0,,,,,,,,,,,,,,
3060866,第1次ソールズベリー侯爵内閣,91300,16053,False,0,44,8,1,2,1,1,0,0,0,4,20,1,0,6
3061105,第3次グラッドストン内閣,88961,15510,False,0,57,14,1,2,2,1,1,0,1,4,23,0,0,8
3086933,ミシェル内閣,55488,11730,False,1,84,29,7,1,3,2,2,0,0,7,25,0,1,7
3109149,第3次安倍内閣,333162,104173,False,1,101,23,0,5,3,3,0,0,0,3,40,2,1,21
3112157,第1次チャーチル内閣,193426,34893,False,0,105,3,0,0,1,1,0,0,1,5,86,1,1,6
3204341,李克強内閣,58145,11270,False,1,70,7,0,2,6,4,1,0,0,13,33,0,0,4
3267087,第2次キャメロン内閣,91913,16659,False,1,65,3,0,2,2,1,2,0,1,3,40,1,1,9
3270866,マニュエル・ヴァルス内閣,22648,6306,True,0,,,,,,,,,,,,,,
3273495,キャメロン内閣,22565,6138,True,0,,,,,,,,,,,,,,
3293537,第3次安倍内閣 (第1次改造),525535,182032,False,1,185,35,3,6,29,7,0,14,0,5,46,2,0,38
3391422,ビスマルク内閣,44339,9152,False,0,35,0,1,0,1,1,0,0,0,2,21,1,1,7
3455458,第1次メイ内閣,97394,16512,False,1,89,4,0,4,5,2,1,0,3,6,50,2,1,11
3458605,ゴドルフィン＝マールバラ内閣,75985,12296,False,0,69,13,1,0,2,3,0,0,1,10,31,2,0,6
3459057,ハーレー内閣,55308,9717,False,0,17,2,1,0,1,2,0,1,1,4,3,2,0,0
3459079,タウンゼンド子爵内閣,70786,11259,False,0,37,1,1,0,1,2,0,0,1,2,23,1,0,5
3459292,第1次スタンホープ＝サンダーランド内閣,66841,10243,False,0,32,1,1,1,2,3,0,0,2,4,13,3,0,2
3459531,第2次スタンホープ＝サンダーランド内閣,70235,10495,False,0,38,1,1,1,2,3,0,0,1,4,16,3,0,6
3464059,第3次安倍内閣 (第2次改造),153294,36543,False,1,71,7,3,4,1,3,0,4,0,5,31,2,0,11
3533108,ジェンティローニ内閣,85120,14331,False,1,46,12,1,1,2,1,0,0,0,5,19,0,1,4
3539198,ビジナ・イヴァニシヴィリ内閣,55930,11113,False,1,,,,,,,,,,,,,,
3541297,イラクリ・ガリバシヴィリ内閣,79584,13535,False,1,65,7,2,2,2,3,3,0,2,3,35,3,1,2
3553953,セルゲイ・ステパーシン内閣,87144,20963,False,2,98,0,1,0,4,1,0,0,0,36,45,1,0,10
3575111,第2次ニューカッスル公爵内閣,106118,14782,False,0,48,0,3,0,1,1,0,0,0,10,27,2,0,4
3575398,ビュート伯爵内閣,72410,10711,False,0,27,0,1,0,1,1,0,1,1,4,11,1,0,6
3592442,1757年暫定内閣,70978,12039,False,0,19,0,1,0,1,1,0,0,1,4,6,0,0,5
3604752,ピット＝デヴォンシャー公爵内閣,69409,10396,False,0,27,0,1,0,1,1,0,0,1,4,13,2,1,3
3613444,メイ内閣,20999,5861,True,0,,,,,,,,,,,,,,
3625305,ウォルポール＝タウンゼンド内閣,75705,11178,False,1,51,2,2,2,4,4,0,0,2,4,22,4,0,5
3629583,第3次メルケル内閣,58618,13188,False,1,58,23,0,1,3,2,1,0,0,6,18,0,1,3
3629766,段祺瑞臨時内閣,25545,6583,False,0,20,0,1,1,1,1,0,0,1,2,9,0,1,3
3629934,第2次メイ内閣,106424,21054,False,1,81,17,0,1,4,2,4,0,0,10,30,0,1,12
3631590,第3次安倍内閣 (第3次改造),130049,26986,False,1,63,13,4,4,1,3,0,0,0,5,26,2,0,5
3690192,第1次ピール内閣,72290,10841,False,0,47,2,1,2,2,3,0,0,1,9,12,3,1,11
3697231,第4次安倍内閣,101860,20102,False,1,45,8,0,3,1,2,1,0,0,3,21,0,1,5
