page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,使用言語,別名,取得の条件,国,大陸分布地域,宗教・信仰,居住地（地域）,居住地（地形）,民族,民族団体,読み
553936,フロッガー,31616,11069,False,0,,,,,,,,,,,,,
555099,日本鬼子,44731,11511,False,1,29,0,0,5,0,9,0,0,0,0,9,0,6
583623,ポーランド系ドイツ人,30970,8305,False,0,7,0,0,1,0,5,0,0,0,0,1,0,0
612444,スコットランド人,100025,25737,False,1,152,1,23,11,0,74,2,3,4,3,30,0,1
623530,スウェーデン系アメリカ人,39329,9654,False,1,45,2,2,3,0,3,0,8,14,0,13,0,0
633698,アジア系アルゼンチン人,29311,7927,False,0,20,0,0,0,0,5,0,0,8,0,7,0,0
636825,日系カナダ人,80675,20140,False,1,64,2,5,3,0,7,0,4,9,2,29,3,0
652884,日系ペルー人,92906,24693,False,1,129,1,3,4,0,56,3,3,6,1,46,5,1
653382,ベトナム系オーストラリア人,40796,9713,False,0,28,1,2,0,0,6,0,4,7,0,8,0,0
710631,ブビ族,27545,7244,False,1,,,,,,,,,,,,,
718936,ラトビア人,22175,6014,False,0,6,1,0,3,0,2,0,0,0,0,0,0,0
755802,ベトナム人,28556,7701,False,0,27,1,0,4,0,16,2,0,0,0,4,0,0
755955,スウェーデン系フィンランド人,39782,12535,False,0,47,1,2,2,0,27,1,2,0,0,11,0,1
756943,スロバキア人,57442,18158,False,0,102,1,4,3,0,70,1,5,8,1,9,0,0
797273,スウェーデン人,58727,13271,False,1,59,1,2,2,0,30,2,4,1,1,15,0,1
817140,アゼルバイジャン人,57114,14100,False,1,78,1,2,7,0,45,0,9,2,0,11,0,1
870579,ドイツ系ポーランド人,31640,8621,False,0,12,0,0,1,0,6,0,0,0,0,5,0,0
873879,ベラルーシ人,80052,17264,False,1,93,1,8,18,0,51,0,6,1,0,8,0,0
948353,イラン人,21163,5987,True,0,6,0,1,0,0,1,1,0,0,0,2,0,1
949316,韓国系オーストラリア人,39394,8018,False,0,13,1,0,1,0,3,0,3,3,0,2,0,0
1035995,在日ペルー人,71936,15839,False,1,32,3,4,2,0,3,0,2,9,0,8,0,1
1036143,エジプト民族,40488,14289,False,0,96,0,17,0,0,38,0,17,4,1,18,0,1
1051772,チリ人,114064,36438,False,1,263,1,2,3,0,85,5,10,20,1,136,0,0
1070328,東亜病夫,28600,9117,False,0,16,0,0,1,0,8,0,0,0,0,6,0,1
1073317,二鬼子,31335,7321,False,1,14,0,0,4,0,2,0,0,0,0,4,0,4
1076584,高麗棒子,40291,11719,False,1,40,0,0,16,0,3,0,0,1,0,13,0,7
1089597,ポルトガル人,84061,21834,False,1,99,1,7,2,0,28,10,2,13,2,33,0,1
1101044,チカホミニ,25032,7430,False,0,,,,,,,,,,,,,
1123848,露助,28660,8244,False,0,15,0,0,11,0,3,0,0,0,0,0,0,1
1134270,オーストリア人,57178,14358,False,1,103,1,10,4,0,47,0,4,14,0,23,0,0
1166581,ブラジル系日本人,26943,7430,False,0,7,0,0,0,0,2,0,0,0,0,4,0,1
1207115,アフリカ系アルゼンチン人,50143,11457,False,1,30,0,1,1,0,7,0,1,5,0,14,0,1
1207346,アフリカ系ウルグアイ人,48895,11563,False,1,44,2,1,1,0,11,0,1,10,0,18,0,0
1275798,インド系移民と在外インド人,64421,18072,False,0,123,0,0,10,0,82,4,0,1,2,24,0,0
1334850,在日イラン人,81873,19539,False,1,68,2,6,3,0,19,0,5,14,0,18,0,1
1335266,オランダ人,53552,14294,False,1,36,0,0,1,0,27,1,4,0,0,2,0,1
1335267,ベルギー人,69871,15641,False,1,49,1,8,7,0,12,1,7,7,0,6,0,0
1358644,ブルクテリ族,25890,7306,False,0,,,,,,,,,,,,,
1454292,日帝本国人,24826,7742,False,0,12,0,0,3,0,2,0,0,0,0,6,0,1
1479990,ドイツ系アメリカ人,70162,18303,False,1,169,3,13,4,0,28,1,20,43,0,55,1,1
1525410,グルジア人,63851,15029,False,1,78,1,6,10,0,28,4,9,3,0,16,0,1
1537331,アジア系南アフリカ人,30884,8566,False,1,40,1,5,2,0,7,1,6,4,0,13,0,1
1641605,南人,22203,6430,True,0,,,,,,,,,,,,,
1687422,韓国系カナダ人,46370,9522,False,1,21,1,3,4,0,5,0,3,1,0,3,0,1
1704612,中国系アメリカ人,56596,10661,False,1,45,1,7,6,0,7,0,4,5,0,14,0,1
1724948,在日ブラジル人,128131,33141,False,1,118,3,7,2,0,12,0,11,63,0,16,3,1
1752917,ジャワ人,36874,12699,False,0,,,,,,,,,,,,,
1754602,日系ベネズエラ人,45676,9563,False,1,43,1,7,2,0,2,0,8,5,0,17,0,1
1754634,日系ウルグアイ人,57729,13199,False,1,51,1,6,2,0,7,1,6,2,0,25,0,1
1754660,日系コロンビア人,51079,10555,False,1,34,1,2,2,0,2,0,4,3,0,19,0,1
1754686,日系キューバ人,49482,11533,False,1,47,1,5,2,0,8,0,6,2,0,22,0,1
1754769,日系チリ人,53163,12381,False,1,63,2,4,4,0,7,1,7,9,0,23,5,1
1755071,日系パラグアイ人,53772,12168,False,1,58,1,8,2,0,3,2,7,7,0,27,0,1
1767265,日系ボリビア人,52750,12301,False,1,62,1,4,2,0,6,0,7,11,3,28,0,0
1767425,日系メキシコ人,54312,11527,False,1,42,1,5,2,0,1,0,7,8,0,17,0,1
1787523,デンマーク人,43627,9941,False,1,37,1,3,3,0,26,0,2,0,0,2,0,0
1788601,日系アルゼンチン人,57183,13187,False,1,53,1,2,2,0,8,1,4,7,0,27,0,1
1794550,ラシャイダ人,39136,10523,False,1,35,1,4,3,0,10,5,2,6,1,3,0,0
1797403,ヤーガン族,32864,9163,False,0,,,,,,,,,,,,,
1815265,アラブ系ブラジル人,49264,12513,False,1,60,1,4,1,0,14,0,9,8,0,22,1,0
1845510,フィリピン人,52034,13367,False,0,12,0,1,3,0,3,0,0,0,3,1,0,1
1868633,パレスチナ系コロンビア人,35970,7779,False,1,24,2,2,1,0,3,0,5,3,1,7,0,0
1868636,パレスチナ系ブラジル人,37121,8255,False,1,27,1,1,2,0,1,0,2,11,0,9,0,0
1868870,レバノン系エクアドル人,30406,7273,False,1,17,1,2,0,0,1,0,1,2,0,10,0,0
1869083,レバノン系ブラジル人,29262,8212,False,1,33,2,4,2,0,5,0,5,5,0,10,0,0
1869178,パレスチナ系ペルー人,31473,7212,False,1,18,1,2,1,0,5,0,0,0,0,9,0,0
1871128,ポルトガル系モザンビーク人,52263,12805,False,1,68,1,16,2,0,23,1,5,3,0,17,0,0
1875159,ベトナム系アメリカ人,38948,9473,False,0,19,0,2,2,0,4,0,0,7,0,4,0,0
1875276,在日アメリカ人,86059,18848,False,1,41,4,2,3,0,9,0,1,6,2,13,0,1
1877182,ユダヤ系アメリカ人,189335,65500,False,1,533,3,28,4,0,46,1,35,203,7,203,3,0
1877955,コンゴ人,27938,8604,False,1,38,2,1,2,0,15,1,3,4,1,1,8,0
1884396,アラブ系アルゼンチン人,42259,10688,False,1,62,3,2,0,0,10,0,5,17,0,25,0,0
1885202,ポルトガル系アンゴラ人,48789,12511,False,1,75,1,11,2,0,27,0,8,3,0,21,2,0
1889415,ムンダ族,29113,8242,False,0,,,,,,,,,,,,,
1894119,日系イギリス人,55923,12709,False,1,53,2,4,2,0,17,0,3,6,0,18,0,1
1897798,スロベニア人,90883,23612,False,1,136,1,5,9,0,67,0,2,30,0,14,7,1
1898229,日系オーストラリア人,54541,13372,False,1,60,4,3,2,0,14,0,6,15,1,14,0,1
1903061,アイルランド系チリ人,36229,8666,False,1,30,1,2,4,0,5,1,7,2,0,8,0,0
1904864,ベンバ族,23683,6531,False,0,,,,,,,,,,,,,
1955598,カーボベルデ系アンゴラ人,23132,6525,False,1,5,2,0,0,0,2,0,0,0,0,1,0,0
1955669,カーボベルデ系ポルトガル人,34573,8707,False,1,12,2,2,0,0,4,0,0,2,0,2,0,0
1955845,ロシア系アメリカ人,63224,14259,False,1,51,2,3,4,0,15,0,9,3,0,15,0,0
1955972,ポルトガル系アフリカ人,47380,10767,False,1,55,1,3,3,0,31,4,1,2,0,9,1,0
1963952,バスク系アルゼンチン人,65841,15716,False,1,60,1,4,1,0,21,0,1,3,0,24,5,0
1964344,アイルランド系アルゼンチン人,40314,9108,False,1,27,2,3,1,0,5,0,1,5,0,10,0,0
1964373,バスク系チリ人,71343,16225,False,1,39,2,3,1,0,12,0,1,5,0,15,0,0
1973407,ミナハサ族,24685,6844,False,0,,,,,,,,,,,,,
1983496,フランス系アメリカ人,117931,27204,False,1,149,1,20,4,0,10,0,10,68,0,35,0,1
1984128,イングランド系アメリカ人,213986,50055,False,1,171,1,16,2,0,39,1,17,50,0,44,0,1
1987221,日系ドミニカ人,70333,18407,False,1,50,1,2,2,0,16,3,3,1,0,21,0,1
1991191,ポルトガル系アメリカ人,40709,9622,False,0,16,0,1,2,0,4,0,0,8,0,1,0,0
1992132,ハイチ系カナダ人,36090,8878,False,1,23,2,5,0,0,5,0,1,8,0,2,0,0
1992295,ハイチ系アメリカ人,51189,13546,False,1,113,2,4,2,0,7,0,5,69,0,24,0,0
2006816,スウェーデン系カナダ人,32290,8107,False,1,27,2,3,2,1,2,0,4,10,0,3,0,0
2008745,在日インドネシア人,58559,11031,False,1,34,1,2,2,0,4,0,8,15,0,1,0,1
2013387,在韓日本人,46943,10274,False,1,33,1,3,2,0,7,2,4,3,0,10,0,1
2013454,在日トルコ人,61173,12647,False,1,48,1,3,3,0,9,0,1,9,0,18,3,1
2020822,イタリア系アルゼンチン人,47139,10460,False,1,20,1,2,3,0,4,0,1,0,0,9,0,0
2020889,アフリカ系ブラジル人,48205,10627,False,0,29,0,0,1,0,11,1,4,6,0,5,0,1
2026489,ポルトガル系南アフリカ人,35394,9045,False,0,25,1,6,1,0,4,1,3,0,0,9,0,0
2026495,パレスチナ系アメリカ人,34900,8092,False,1,26,4,4,1,0,3,0,3,9,0,2,0,0
2043535,アジア系アメリカ人,126641,32495,False,1,147,1,1,0,0,2,0,5,0,0,137,0,1
2079965,アメ公,23214,6394,False,0,4,0,0,0,0,2,0,0,0,0,1,0,1
2088785,在日ロシア人,142856,33127,False,2,134,1,3,2,0,33,0,5,34,3,50,2,1
2090101,デンマーク系アメリカ人,27928,7426,False,0,10,1,0,1,0,2,0,0,5,0,1,0,0
2092553,在日インド人,70399,14604,False,1,62,1,6,0,0,7,0,6,19,0,22,0,1
2093106,チャイナマン,23258,6109,False,0,8,0,0,4,0,0,0,0,0,0,4,0,0
2127598,日系ロシア人,47127,10440,False,1,48,1,2,2,0,14,0,3,14,0,11,0,1
2127802,日系スペイン人,59824,13067,False,1,44,1,3,2,0,8,0,5,5,3,16,0,1
2131067,日系パラオ人,47083,9798,False,1,25,2,3,2,0,2,0,3,2,0,10,0,1
2131088,日系ミクロネシア連邦人,47924,9941,False,1,27,2,4,2,0,3,0,3,0,2,10,0,1
2131130,日系マーシャル諸島人,47672,9816,False,1,25,2,3,2,0,3,0,1,0,2,11,0,1
2131158,日系ニュージーランド人,49107,10317,False,1,21,2,2,2,0,3,0,3,3,1,4,0,1
2133463,日系スウェーデン人,46020,9757,False,1,23,2,3,2,0,6,1,3,3,0,2,0,1
2133961,日系ドイツ人,52896,10899,False,1,32,2,3,2,0,4,3,4,9,0,4,0,1
2140810,在日バングラデシュ人,52237,9582,False,1,11,2,2,0,0,2,0,2,1,0,1,0,1
2140811,在日ミャンマー人,59217,11478,False,1,27,1,2,3,0,5,0,4,6,0,5,0,1
2140832,在日ベトナム人,62763,11592,False,1,30,2,2,2,0,5,0,2,14,0,2,0,1
2148630,在日ルーマニア人,59559,12802,False,1,29,2,2,0,0,5,0,1,13,0,5,0,1
2150879,在日ウクライナ人,70027,14786,False,1,55,2,4,1,1,5,0,1,22,3,15,0,1
2157207,台湾系アメリカ人,74057,27327,False,1,163,0,22,4,0,22,2,3,50,2,51,6,1
2230231,ラテン系アメリカ人,27405,7685,False,0,24,0,12,9,0,2,0,0,0,0,0,0,1
2231283,羊飼い,39326,12530,False,0,,,,,,,,,,,,,
2242241,在香港日本人,54944,13384,False,1,43,1,4,0,0,0,0,2,21,0,14,0,1
2249873,在日クルド人,74735,19418,False,1,68,2,6,2,0,18,0,1,12,0,23,3,1
2259948,イタリア系ブラジル人,26976,7078,False,1,21,1,2,3,0,3,0,1,4,0,6,0,1
2263755,在中日本人,53530,10695,False,1,23,2,3,0,0,3,0,2,6,0,6,0,1
2268432,アベラム族,40872,14387,False,1,,,,,,,,,,,,,
2278238,在日フランス人,68442,14615,False,1,49,1,3,2,0,12,0,1,15,0,13,1,1
2278477,在日イギリス人,68648,14641,False,1,26,3,2,2,0,2,0,2,6,0,8,0,1
2278508,在日ドイツ人,55793,10368,False,1,23,1,3,2,0,4,0,2,7,0,3,0,1
2296737,在アルジェリア日本人,50985,11315,False,1,19,2,3,0,0,7,0,2,2,0,2,0,1
2411638,在日パキスタン人,60864,12043,False,1,28,2,4,0,0,4,0,1,14,0,2,0,1
2552273,ノルウェー人,95522,29849,False,1,144,1,4,2,0,74,2,9,26,7,18,0,1
2611389,ハイダ族,22044,6013,False,0,,,,,,,,,,,,,
2645554,ブラジル人,229296,80962,False,1,681,1,53,3,3,125,6,23,90,1,376,0,0
2659431,アフリカ系フランス人,51440,10307,False,1,27,2,1,0,0,3,0,3,9,0,9,0,0
2680145,日本人,336788,96692,False,1,318,1,12,33,0,60,1,6,35,55,113,0,2
2787615,ノルウェー系アメリカ人,182984,52553,False,1,253,4,25,4,0,23,2,21,145,7,22,0,0
2810647,カーボベルデ系アメリカ人,36993,9849,False,1,33,1,3,2,0,5,0,1,7,0,13,0,1
2816590,在日台湾人,73501,15866,False,1,34,2,3,1,0,8,0,3,7,0,6,3,1
2816593,在日中国人,137862,29390,False,1,142,3,8,4,0,14,0,6,66,0,40,0,1
2827366,ハラチン,83965,28466,False,0,,,,,,,,,,,,,
2908593,フラマン人,72303,22633,False,1,,,,,,,,,,,,,
2928536,ニュージーランド人,50882,11759,False,1,31,1,0,3,0,13,0,0,0,0,13,0,1
2942513,ウクライナ系アメリカ人,57045,15623,False,1,103,1,3,3,0,7,0,5,75,0,9,0,0
3016268,フィリピン系アメリカ人,28652,7998,False,0,13,1,0,3,0,3,1,0,0,0,4,0,1
3088514,フランス系カナダ人,127303,24925,False,1,104,2,19,6,0,14,3,5,39,0,16,0,0
3098496,アルメニア系アメリカ人,456424,95389,False,1,398,4,25,5,0,51,1,18,169,0,112,12,1
3118420,コレラ族,27044,8043,False,0,,,,,,,,,,,,,
3124794,バスク系メキシコ人,56439,13467,False,1,55,0,3,3,0,9,0,2,21,0,17,0,0
3124796,バスク系アメリカ人,67791,20530,False,1,160,4,4,1,0,14,0,1,71,2,50,13,0
3215828,アンダマン人,29864,8458,False,0,,,,,,,,,,,,,
3219694,ドルガン人,32814,7496,False,1,,,,,,,,,,,,,
3220246,エネツ人,29502,6895,False,0,,,,,,,,,,,,,
3253793,ケープマレー,53157,16259,False,1,,,,,,,,,,,,,
3261508,サモア系アメリカ人,73616,16207,False,1,116,3,2,1,0,11,0,6,57,2,34,0,0
3308708,オングト,48235,12610,False,0,,,,,,,,,,,,,
3311050,バスク系フィリピン人,111588,28166,False,1,135,0,15,0,0,44,0,3,32,9,32,0,0
3363533,黒海ドイツ人,107583,32322,False,0,648,1,4,5,0,58,3,12,535,1,29,0,0
3385945,ブラックフット族,141925,69142,False,0,,,,,,,,,,,,,
3388127,ナウカ,21079,6144,True,0,,,,,,,,,,,,,
3408927,コンギラト,57509,18491,False,0,,,,,,,,,,,,,
3524990,パキスタン人,62984,14890,False,1,120,2,22,2,0,35,3,17,4,0,35,0,0
3529554,アルゼンチン人,79784,26122,False,1,240,1,21,3,0,73,18,8,9,0,106,1,0
3530750,ベネズエラ人,104947,29311,False,1,282,1,23,3,0,71,6,23,33,5,117,0,0
3530771,コロンビア人,65200,20554,False,1,144,1,5,3,0,29,1,23,14,6,62,0,0
3530792,ボリビア人,71011,21510,False,1,267,1,10,2,0,26,2,31,34,1,160,0,0
3530801,ペルー人,94052,28051,False,1,254,1,5,2,0,56,6,9,68,6,101,0,0
3532042,ポルトガル系ブラジル人,42161,8892,False,1,18,1,1,2,0,0,0,1,3,0,9,0,1
3542360,ウルグアイ人,83216,23245,False,1,188,1,9,2,0,44,6,31,31,0,64,0,0
3673145,エクアドル人,128902,54102,False,1,429,2,57,3,0,70,1,40,44,2,205,5,0
